step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
323;3,23;-117,408067763925;7623,80033660521;7506,39226884128;305,644140286345
324;3,24;-116,857572090311;7595,12240415125;7478,26483206094;304,494419461681
325;3,25;-115,931109264477;7592,05670386034;7476,12559459586;304,3715131304
326;3,26;-114,757659577804;7604,23468788463;7489,47702830682;304,859738069824
327;3,27;-113,631904607299;7539,42614601429;7425,79424140699;302,261512750614
328;3,28;-112,438079554947;7548,31751445297;7435,87943489803;302,617974691172
329;3,29;-111,182548065977;7531,20377159482;7420,02122352884;301,931871305456
330;3,3;-110,0111095751;7551,61459599386;7441,60348641876;302,750157278402
331;3,31;-109,04485860884;7555,66412626997;7446,61926766113;302,91250612611
332;3,32;-108,182100538636;7547,65626829444;7439,47416775581;302,591464813589
333;3,33;-107,381768285299;7552,27747550169;7444,89570721639;302,776732638241
334;3,34;-107,016833725246;7538,82106568657;7431,80423196133;302,237254605279
335;3,35;-107,152372464458;7535,39730023583;7428,24492777137;302,099993160654
336;3,36;-107,611035516639;7535,41105398893;7427,80001847229;302,100544559413
337;3,37;-108,327687953293;7534,15493364377;7425,82724569047;302,050185708703
338;3,38;-109,184988845988;7527,03487350299;7417,849884657;301,764736908311
339;3,39;-109,731990217937;7494,14883924384;7384,41684902591;300,446309978856
340;3,4;-109,91056183723;7488,7317433647;7378,82118152747;300,229134352564
341;3,41;-109,660207902848;7469,29231795073;7359,63211004789;299,449792527492
342;3,42;-109,00882662272;7511,57441912025;7402,56559249753;301,14491515543
343;3,43;-107,963089173374;7466,15895329602;7358,19586412265;299,324173478749
344;3,44;-106,772511284952;7426,74112239514;7319,96861111019;297,743881694374
345;3,45;-106,041582610656;7405,16958319067;7299,12800058001;296,879061753701
346;3,46;-106,03825373371;7421,0268327431;7314,98857900939;297,514791336425
347;3,47;-106,840314909802;7428,73776072031;7321,89744581051;297,82392849222
348;3,48;-108,615540417939;7395,51394641428;7286,89840599634;296,491959695523
349;3,49;-110,975033159451;7439,44290114795;7328,4678679885;298,253105975651
350;3,5;-113,477926403478;7392,99947071527;7279,52154431179;296,391152390851
351;3,51;-115,653595864308;7466,27819645193;7350,62460058762;299,328954030477
352;3,52;-117,227645841616;7402,0602868551;7284,83264101348;296,754407622766
353;3,53;-118,234380529148;7407,57954762327;7289,34516709412;296,975679119661
354;3,54;-118,740864486808;7420,28936530451;7301,5485008177;297,485225687889
355;3,55;-118,847015549865;7394,64244789883;7275,79543234897;296,4570206359
356;3,56;-118,90471458289;7411,03436380457;7292,12964922168;297,114185412449
357;3,57;-119,003965298907;7423,50207307667;7304,49810777777;297,614025664497
358;3,58;-119,153495325049;7423,58186539263;7304,42837006758;297,617224601082
359;3,59;-119,452831578431;7377,61815491427;7258,16532333584;295,774503365837
360;3,6;-119,751523495903;7384,28688988931;7264,5353663934;296,041858186038
361;3,61;-119,907357157829;7347,67103186515;7227,76367470732;294,573899693879
362;3,62;-119,820521351908;7365,01181328725;7245,19129193534;295,269105233852
363;3,63;-119,502638205834;7366,21887945182;7246,71624124599;295,317497463954
364;3,64;-118,945758668383;7350,33414751621;7231,38838884783;294,680666090914
365;3,65;-118,031819739772;7321,46068296037;7203,4288632206;293,52310623079
366;3,66;-117,064317091689;7324,81569514198;7207,7513780503;293,657611302883
367;3,67;-115,97240860692;7332,63092295558;7216,65851434866;293,970929920995
368;3,68;-114,865247735561;7321,62046803683;7206,75522030127;293,529512139939
