step;time_ps;potential_energy_kJ_mol;kinetic_energy_kJ_mol;total_energy_kJ_mol;temperature_K
283;2,83;-105,502202103339;7642,30443641642;7536,80223431308;306,385984173759
284;2,84;-105,551232787948;7690,2856986738;7584,73446588586;308,309590643631
285;2,85;-104,830348839701;7673,25692527028;7568,42657643058;307,626893750055
286;2,86;-103,641683173465;7659,77494061297;7556,1332574395;307,086390401593
287;2,87;-102,689672422836;7677,40685234071;7574,71717991788;307,79326758406
288;2,88;-102,164701038807;7637,86087170603;7535,69617066722;306,207838176257
289;2,89;-101,908281863813;7646,74255661614;7544,83427475233;306,563911896553
290;2,9;-102,308472521209;7617,10159220876;7514,79311968755;305,375582364882
291;2,91;-103,226757971243;7602,75178516308;7499,52502719184;304,800287335618
292;2,92;-104,4532289407;7601,27867056447;7496,82544162377;304,741229014943
293;2,93;-105,985219771353;7609,86731885748;7503,88209908613;305,085554667222
294;2,94;-107,549081638272;7630,77650184269;7523,22742020441;305,923820227105
295;2,95;-108,928323248041;7656,41048195562;7547,48215870757;306,951506612872
296;2,96;-110,331508291699;7636,84943546124;7526,51792716954;306,167288903212
297;2,97;-111,627554418653;7653,51775363786;7541,8901992192;306,83553486378
298;2,98;-112,525627282103;7651,14641819471;7538,62079091261;306,740466164332
299;2,99;-113,397651330063;7654,01973346678;7540,62208213671;306,855659629183
300;3;-113,915344980864;7642,3867699424;7528,47142496153;306,389284989448
301;3,01;-114,187907079406;7635,8171746644;7521,629267585;306,125904757527
302;3,02;-114,172920541634;7628,73659572237;7514,56367518074;305,842038789386
303;3,03;-113,821116011936;7587,30247083624;7473,4813548243;304,180912196323
304;3,04;-113,155533028874;7599,08305825123;7485,92752522236;304,653205193719
305;3,05;-112,237867599331;7620,16566548678;7507,92779788745;305,498423467939
306;3,06;-111,145676672486;7565,50116717695;7454,35549050447;303,306880818288
307;3,07;-110,206873368686;7566,38601569874;7456,17914233006;303,342355090145
308;3,08;-109,641088664097;7579,62920128793;7469,98811262383;303,873284796505
309;3,09;-109,481400750202;7623,38560697007;7513,90420621987;305,627513449704
310;3,1;-109,654296285752;7678,17617908255;7568,5218827968;307,824110497073
311;3,11;-109,916879872028;7695,33140443963;7585,4145245676;308,511876948734
312;3,12;-110,083980686222;7721,04407262224;7610,96009193601;309,542718000986
313;3,13;-109,919083251826;7680,94693521188;7571,02785196005;307,93519228538
314;3,14;-109,577196846214;7684,57463397575;7574,99743712954;308,080629576619
315;3,15;-109,990280809861;7675,8910328565;7565,90075204664;307,732497190998
316;3,16;-110,076016738025;7671,37131354042;7561,2952968024;307,551298095572
317;3,17;-110,390943746257;7684,19960352438;7573,80865977812;308,06559431142
318;3,18;-110,726415341644;7653,68550481653;7542,95908947489;306,84226014022
319;3,19;-111,250863819058;7651,56446531044;7540,31360149139;306,757226001375
320;3,2;-111,724199480476;7630,08310712468;7518,3589076442;305,896021488535
321;3,21;-112,166820065384;7626,34930422171;7514,18248415632;305,746330399067
322;3,22;-112,311280857444;7635,3634139479;7523,05213309046;306,107713134194
323;3,23;-111,996851432365;7624,49437475288;7512,49752332052;305,671964820515
324;3,24;-111,397399075925;7595,57071994831;7484,17332087239;304,512392793919
325;3,25;-110,284075472043;7592,54561996118;7482,26154448914;304,391114160689
326;3,26;-108,76795843281;7604,53587166722;7495,76791323441;304,871812764102
327;3,27;-107,244928617976;7539,24076344741;7431,99583482943;302,25408061798
328;3,28;-105,693376444813;7547,62071706958;7441,92734062477;302,590039537076
329;3,29;-104,169559576625;7530,33840641563;7426,16884683901;301,897178136099
330;3,3;-102,605798605736;7550,26576845332;7447,65996984758;302,696081723453
331;3,31;-101,48849755522;7554,09982700893;7452,61132945371;302,849792140738
332;3,32;-100,517052011671;7546,56521541673;7446,04816340506;302,547723647229
333;3,33;-99,6721649723498;7551,3253048688;7451,65313989645;302,738559370101
334;3,34;-99,3604273785743;7537,98077770701;7438,62035032843;302,20356680054
335;3,35;-99,6445386314976;7534,54716108454;7434,90262245304;302,065910414708
336;3,36;-100,172341381398;7534,85164322985;7434,67930184845;302,078117342936
337;3,37;-100,975895107613;7534,05688094723;7433,08098583962;302,046254699126
338;3,38;-101,86679733318;7527,03427089867;7425,16747356549;301,76471274943
339;3,39;-102,326612677435;7494,20075620265;7391,87414352521;300,44839137049
340;3,4;-102,297910723297;7488,57470319864;7386,27679247534;300,222838489028
341;3,41;-101,990208109291;7469,25251856844;7367,26231045915;299,448196939013
342;3,42;-101,199561038368;7511,17708952937;7409,977528491;301,128985900222
343;3,43;-100,11096964998;7465,56663981419;7365,45567016421;299,300427166288
344;3,44;-98,8229893499108;7426,17318000357;7327,35019065366;297,721112438053
345;3,45;-98,0419548413985;7404,57001960701;7306,52806476561;296,855024778966
346;3,46;-98,0343952070961;7420,53981473048;7322,50541952339;297,495266401983
347;3,47;-98,9106999552178;7428,36296417783;7329,45226422261;297,808902604611
348;3,48;-100,783729629362;7395,1263027424;7294,34257311304;296,476418756412
349;3,49;-103,222609169384;7439,15300166608;7335,9303924967;298,241483677848
350;3,5;-106,893876527984;7393,02082551849;7286,12694899051;296,392008521676
351;3,51;-109,366409021255;7466,39132099804;7357,02491197679;299,333489282335
352;3,52;-111,224786710811;7402,41773416645;7291,19294745564;296,76873796608
353;3,53;-112,653451844796;7408,38468648017;7295,73123463538;297,007957768479
354;3,54;-113,409713970699;7421,41745595948;7308,00774198878;297,530451727814
355;3,55;-113,811586860865;7395,81333403394;7282,00174717308;296,503962380219
356;3,56;-113,864173042343;7412,46385434037;7298,59968129803;297,1714948102
357;3,57;-113,825773820352;7424,9469398125;7311,12116599215;297,671951506177
358;3,58;-113,559830265552;7424,68380415441;7311,12397388885;297,661402191079
359;3,59;-113,442080565545;7378,03529316906;7264,59321260351;295,791226765931
360;3,6;-113,236051657399;7384,31414034192;7271,07808868453;296,042950678075
361;3,61;-113,066875885544;7347,28139213014;7234,2145162446;294,55827873103
362;3,62;-112,838133766579;7364,51989074645;7251,68175697987;295,249383673025
363;3,63;-112,349225028771;7365,90904752796;7253,55982249919;295,305076058904
364;3,64;-111,709714917767;7349,86489120367;7238,1551762859;294,661853236971
365;3,65;-110,581889595954;7321,09332538201;7210,51143578605;293,508378577092
366;3,66;-109,59225130773;7324,31428799891;7214,72203669118;293,637509496906
367;3,67;-108,531596040673;7332,17996189317;7223,64836585249;293,952850537992
